Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,6,HIT_MUD,false,0,1,0,0,0,,,0,1,1
4,2,4,23,8,ACCELERATING,false,0,1,0,1,0,,,0,1,5
5,2,4,32,9,ACCELERATING,false,0,1,0,1,0,,,0,1,5
6,2,4,41,9,USED_OIL,false,0,1,0,0,0,,,0,2,13
7,2,4,50,9,USED_EMP,false,0,1,0,0,0,,,0,1,17
8,2,4,59,3,HIT_MUD,false,0,4,0,0,0,,,0,1,16
9,2,4,62,3,ACCELERATING,false,0,4,0,0,0,,,0,1,16
10,2,4,65,3,ACCELERATING,false,0,4,0,0,0,,,0,1,16
11,2,4,68,3,ACCELERATING,false,0,4,0,0,0,,,0,1,16
12,2,4,71,3,ACCELERATING,false,0,4,0,1,0,,,0,1,20
13,2,4,74,3,ACCELERATING,false,0,4,0,1,0,,,0,1,20
14,2,4,77,0,HIT_MUD,false,0,5,0,1,0,,,0,1,17
15,2,4,77,0,FIXED_CAR,false,0,3,0,1,0,,,0,1,17
16,2,4,80,3,ACCELERATING,false,0,3,0,1,0,,,0,1,17
17,2,4,86,6,ACCELERATING,false,0,3,0,1,0,,,0,1,17
18,2,4,92,6,ACCELERATING,false,0,3,0,1,0,,,0,1,17
19,2,4,98,6,ACCELERATING,false,0,3,0,1,0,,,0,1,17
20,2,4,104,3,HIT_MUD,false,0,4,0,1,0,,,0,1,14
21,2,4,107,3,ACCELERATING,false,0,4,0,1,0,,,0,1,14
22,2,4,110,3,ACCELERATING,false,0,4,0,1,0,,,0,1,14
23,2,4,113,3,ACCELERATING,false,0,4,0,1,0,,,0,1,14
24,2,4,116,3,ACCELERATING,false,0,4,0,1,0,,,0,1,14
25,2,4,119,3,ACCELERATING,false,0,4,0,1,0,,,0,1,14
26,2,4,122,3,ACCELERATING,false,0,4,0,1,0,,,0,1,14
27,2,4,125,3,ACCELERATING,false,0,4,0,1,0,,,0,1,14
28,2,4,128,3,ACCELERATING,false,0,4,0,1,0,,,0,1,14
29,2,4,131,3,ACCELERATING,false,0,4,0,1,0,,,0,1,14
30,2,4,134,3,ACCELERATING,false,0,4,0,1,0,,,0,1,14
31,2,4,137,0,HIT_MUD,false,0,5,0,1,0,,,0,1,11
32,2,4,137,0,FIXED_CAR,false,0,3,0,1,0,,,0,1,11
33,2,4,140,3,ACCELERATING,false,0,3,0,1,0,,,0,1,11
34,2,4,146,0,HIT_WALL,false,0,5,0,1,0,,,0,2,10
35,2,4,146,0,FIXED_CAR,false,0,3,0,1,0,,,0,2,10
36,2,4,149,3,ACCELERATING,false,0,3,0,1,0,,,0,2,10
37,2,4,155,0,HIT_MUD,false,0,5,0,1,1,,,0,2,5
38,2,4,155,0,FIXED_CAR,false,0,3,0,1,1,,,0,2,5
39,2,4,158,3,ACCELERATING,false,0,3,0,1,1,,,0,2,5
40,2,4,164,6,ACCELERATING,false,0,3,0,1,1,,,0,2,5
41,2,4,170,6,ACCELERATING,false,0,3,0,1,1,,,1,2,9
42,2,4,176,6,ACCELERATING,false,0,3,0,1,1,,,1,2,9
43,2,4,182,6,ACCELERATING,false,0,3,0,1,1,,,1,2,9
44,2,4,188,6,ACCELERATING,false,0,3,0,2,1,,,1,2,13
45,2,4,194,6,ACCELERATING,false,0,3,0,2,1,,,1,2,13
46,2,4,200,6,ACCELERATING,false,0,3,0,2,1,,,1,2,13
47,2,4,206,6,ACCELERATING,false,0,3,0,2,1,,,1,2,13
48,2,4,212,6,ACCELERATING,false,0,3,0,2,1,,,1,2,13
49,2,4,218,6,USED_LIZARD,false,0,3,0,2,0,,,1,2,13
50,2,4,224,3,HIT_MUD,false,0,4,0,2,1,,,1,2,14
51,2,4,227,3,ACCELERATING,false,0,4,0,2,1,,,1,2,14
52,2,4,230,3,ACCELERATING,false,0,4,0,2,2,,,1,2,18
53,2,4,233,3,ACCELERATING,false,0,4,0,2,2,,,1,2,18
54,2,4,236,0,HIT_MUD,false,0,5,0,2,2,,,1,2,15
55,2,4,236,0,FIXED_CAR,false,0,3,0,2,2,,,1,2,15
56,2,4,239,0,HIT_WALL,false,0,5,0,2,2,,,1,2,10
57,2,4,239,0,FIXED_CAR,false,0,3,0,2,2,,,1,2,10
58,2,4,242,3,ACCELERATING,false,0,3,0,2,2,,,1,2,10
59,2,4,248,6,ACCELERATING,false,0,3,0,2,2,,,1,2,10
60,2,4,254,6,ACCELERATING,false,0,3,0,2,2,,,2,2,14
61,2,4,260,6,ACCELERATING,false,0,3,0,2,3,,,2,2,18
62,2,4,266,6,ACCELERATING,false,0,3,0,2,4,,,2,2,22
63,2,4,272,6,USED_LIZARD,false,0,3,0,2,3,,,2,2,22
64,2,4,278,6,ACCELERATING,false,0,3,0,2,3,,,2,2,22
65,2,4,284,6,ACCELERATING,false,0,3,0,2,3,,,2,2,22
66,2,4,290,6,ACCELERATING,false,0,3,0,2,3,,,2,2,22
67,2,4,296,3,HIT_MUD,false,0,4,0,2,2,,,2,2,19
68,2,4,299,3,ACCELERATING,false,0,4,0,2,2,,,2,2,19
69,2,4,302,3,ACCELERATING,false,0,4,0,2,2,,,2,2,19
70,2,4,305,3,ACCELERATING,false,0,4,0,2,2,,,2,2,19
71,2,4,308,3,ACCELERATING,false,0,4,0,2,2,,,2,2,19
72,2,4,311,3,ACCELERATING,false,0,4,0,2,2,,,2,2,19
73,2,4,314,3,ACCELERATING,false,0,4,0,2,2,,,2,2,19
74,2,4,317,3,ACCELERATING,false,0,4,0,2,2,,,2,2,19
75,2,4,320,3,ACCELERATING,false,0,4,0,2,2,,,2,2,19
76,2,4,323,3,ACCELERATING,false,0,4,0,2,2,,,2,2,19
77,2,4,326,3,ACCELERATING,false,0,4,0,2,3,,,2,2,23
78,2,4,329,3,ACCELERATING,false,0,4,0,2,3,,,2,2,23
79,2,4,332,3,ACCELERATING,false,0,4,0,2,3,,,2,2,23
80,2,4,335,3,ACCELERATING,false,0,4,0,2,3,,,2,2,23
81,2,4,338,3,ACCELERATING,false,0,4,0,3,3,,,2,2,27
82,2,4,341,3,ACCELERATING,false,0,4,0,3,3,,,2,2,27
83,2,4,344,3,ACCELERATING,false,0,4,0,3,3,,,2,2,27
84,2,4,347,3,ACCELERATING,false,0,4,0,3,3,,,2,2,27
85,2,4,350,3,ACCELERATING,false,0,4,0,3,3,,,2,2,27
86,2,4,353,3,ACCELERATING,false,0,4,0,3,3,,,2,2,27
87,2,4,356,3,ACCELERATING,false,0,4,0,3,3,,,2,2,27
88,2,4,359,3,ACCELERATING,false,0,4,0,3,3,,,2,2,27
89,2,4,362,3,ACCELERATING,false,0,4,0,3,3,,,2,2,27
90,2,4,365,3,ACCELERATING,false,0,4,0,3,3,,,2,2,27
91,2,4,368,3,ACCELERATING,false,0,4,0,3,4,,,2,2,31
92,2,4,371,3,ACCELERATING,false,0,4,0,3,4,,,2,2,31
93,2,4,374,3,ACCELERATING,false,0,4,1,3,4,,,2,2,35
94,2,4,377,3,ACCELERATING,false,0,4,1,3,4,,,2,2,35
95,2,4,380,3,ACCELERATING,false,0,4,1,3,4,,,2,3,39
96,2,4,383,3,ACCELERATING,false,0,4,1,3,4,,,2,3,39
97,2,4,386,3,ACCELERATING,false,0,4,1,3,4,,,2,3,39
98,2,4,389,3,ACCELERATING,false,0,4,1,3,4,,,2,3,39
99,2,4,392,3,ACCELERATING,false,0,4,1,3,4,,,2,3,39
100,2,4,395,0,HIT_MUD,false,0,5,1,3,4,,,2,3,36
101,2,4,395,0,FIXED_CAR,false,0,3,1,3,4,,,2,3,36
102,2,4,398,3,ACCELERATING,false,0,3,1,3,4,,,3,3,40
103,2,4,404,6,ACCELERATING,false,0,3,1,3,4,,,4,3,44
104,2,4,410,6,USED_BOOST,true,5,3,0,3,4,,,4,3,48
105,2,4,416,6,ACCELERATING,true,4,3,0,3,4,,,4,4,52
106,2,4,422,6,USED_LIZARD,true,3,3,0,3,3,,,4,4,52
107,2,4,428,6,USED_LIZARD,true,2,3,0,3,2,,,4,4,52
108,2,4,434,6,USED_LIZARD,true,1,3,0,3,1,,,4,4,52
109,2,4,440,6,USED_LIZARD,false,0,3,0,3,0,,,4,4,52
110,2,4,446,3,HIT_MUD,false,0,4,0,3,0,,,4,4,49
111,2,4,449,3,ACCELERATING,false,0,4,0,3,0,,,4,4,49
112,2,4,452,3,ACCELERATING,false,0,4,0,3,0,,,4,4,49
113,2,4,455,3,ACCELERATING,false,0,4,0,3,0,,,5,4,53
114,2,4,458,3,ACCELERATING,false,0,4,0,3,0,,,5,4,53
115,2,4,461,0,HIT_MUD,false,0,5,0,3,0,,,5,4,50
116,2,4,461,0,FIXED_CAR,false,0,3,0,3,0,,,5,4,50
117,2,4,464,3,ACCELERATING,false,0,3,0,3,0,,,5,4,50
118,2,4,470,6,ACCELERATING,false,0,3,0,3,0,,,5,5,54
119,2,4,476,3,HIT_MUD,false,0,4,0,3,0,,,5,5,51
120,2,4,479,0,HIT_MUD,false,0,5,0,3,0,,,5,5,48
121,2,4,479,0,FIXED_CAR,false,0,3,0,3,0,,,5,5,48
122,2,4,482,3,ACCELERATING,false,0,3,0,3,0,,,5,5,48
123,2,4,488,6,ACCELERATING,false,0,3,0,4,0,,,5,5,52
124,2,4,494,6,ACCELERATING,false,0,3,0,4,0,,,5,5,52
125,2,4,500,0,HIT_MUD,false,0,5,0,5,0,,,5,5,50
126,2,4,500,0,FIXED_CAR,false,0,3,0,5,0,,,5,5,50
127,2,4,503,3,ACCELERATING,false,0,3,0,5,0,,,5,5,50
128,2,4,509,6,ACCELERATING,false,0,3,0,5,0,,,5,5,50
129,2,4,515,6,ACCELERATING,false,0,3,0,5,0,,,5,5,50
130,2,4,521,3,HIT_MUD,false,0,4,0,5,0,,,5,5,47
131,2,4,524,3,ACCELERATING,false,0,4,0,5,0,,,5,5,47
132,2,4,527,0,HIT_WALL,false,0,5,0,5,0,,,5,5,42
133,2,4,527,0,FIXED_CAR,false,0,3,0,5,0,,,5,5,42
134,2,4,530,3,ACCELERATING,false,0,3,0,5,0,,,5,5,42
135,2,4,536,6,ACCELERATING,false,0,3,0,6,0,,,5,5,46
136,2,4,542,6,ACCELERATING,false,0,3,0,6,0,,,5,5,46
137,2,4,548,3,HIT_MUD,false,0,4,0,6,0,,,5,5,43
