Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,1,0,,,0,0,4
4,1,1,24,9,ACCELERATING,false,0,0,0,1,0,,,0,0,4
5,1,1,33,9,USED_OIL,false,0,0,0,0,0,,,0,1,12
6,1,1,42,9,USED_EMP,false,0,0,0,0,0,,,0,0,16
7,1,1,51,9,ACCELERATING,false,0,0,0,0,0,,,2,0,24
8,1,1,60,9,ACCELERATING,false,0,0,0,0,0,,,2,0,24
9,1,1,69,9,ACCELERATING,false,0,0,0,0,0,,,2,0,24
10,1,1,78,9,ACCELERATING,false,0,0,0,0,0,,,2,0,24
11,1,1,87,8,HIT_MUD,false,0,1,0,0,0,,,2,1,25
12,1,1,96,9,ACCELERATING,false,0,1,0,0,1,,,2,1,29
13,1,1,105,9,USED_EMP,false,0,1,0,0,1,,,2,0,33
14,1,1,114,9,ACCELERATING,false,0,1,0,0,1,,,2,0,33
15,1,1,123,8,HIT_MUD,false,0,2,0,0,0,,,2,0,30
16,1,2,130,3,HIT_MUD,false,0,4,0,0,0,,,2,0,24
17,1,2,133,3,ACCELERATING,false,0,4,0,0,0,,,2,0,24
18,1,2,136,3,ACCELERATING,false,0,4,0,0,0,,,2,0,24
19,1,2,139,3,ACCELERATING,false,0,4,0,0,0,,,2,0,24
20,1,2,142,3,ACCELERATING,false,0,4,0,0,1,,,2,0,28
21,1,2,145,3,ACCELERATING,false,0,4,0,0,1,,,2,0,28
22,1,2,148,3,ACCELERATING,false,0,4,0,0,1,,,2,1,32
23,1,2,151,0,HIT_MUD,false,0,5,0,0,1,,,2,1,29
24,1,2,151,0,FIXED_CAR,false,0,3,0,0,1,,,2,1,29
25,1,2,154,3,ACCELERATING,false,0,3,0,0,1,,,2,1,29
26,1,2,160,6,ACCELERATING,false,0,3,0,0,1,,,2,1,29
27,1,2,166,6,ACCELERATING,false,0,3,0,0,1,,,2,1,29
28,1,2,172,6,ACCELERATING,false,0,3,0,0,1,,,2,1,29
29,1,2,178,6,ACCELERATING,false,0,3,0,0,1,,,2,1,29
30,1,2,184,6,ACCELERATING,false,0,3,0,0,1,,,2,1,29
31,1,2,190,6,ACCELERATING,false,0,3,0,0,1,,,2,1,29
